cups,potencia_contratada_p1,potencia_contratada_p2,potencia_contratada_p3,tp_actual,potencia_recomendada_p1,potencia_recomendada_p2,potencia_recomendada_p3,tp_recomendado
ES0032000002955582LS,33.0000,33.0000,33.0000,0.0000,175.1302,97.8105,60.3845,0.0000
ES0032000002934613GE,60.0000,60.0000,60.0000,0.0000,122.3423,246.5554,34.8250,0.0000
ES0032000002934612GK,64.0000,64.0000,64.0000,0.0000,56.8865,66.7070,130.2693,0.0000
ES0032000002934610GL,60.0000,60.0000,60.0000,0.0000,43.7105,4.3661,83.0421,0.0000
ES0032000002918089EN,19.0500,20.0000,27.9000,0.0000,198.8207,103.0962,65.3663,0.0000
ES0032000002918163WV,33.0000,33.0000,33.0000,0.0000,172.0068,40.7936,7.5231,0.0000
ES0032000002918234ML,20.0000,20.0000,20.0000,0.0000,51.3446,101.9664,56.6121,0.0000
ES0032000002957735KY,80.0000,80.0000,80.0000,0.0000,112.4002,126.7367,42.0681,0.0000
ES0032000002957736KF,70.0000,70.0000,70.0000,0.0000,81.7802,80.8815,108.5527,0.0000
ES0032000002938856MX,30.0000,35.0000,62.0000,0.0000,68.8757,221.1976,182.2197,0.0000
ES0032000002938863MV,252.0000,252.0000,252.0000,0.0000,122.1800,93.3147,49.9032,0.0000
ES0032000002938835GN,5.1960,0.0000,0.0000,0.0000,109.9382,32.7119,193.0127,0.0000
ES0032000002938851MM,26.4000,26.4000,26.4000,0.0000,61.7487,41.7088,146.0496,0.0000
ES0032000002938816AQ,5.1960,0.0000,0.0000,0.0000,192.4793,218.5909,95.9407,0.0000
ES0032000002938817AV,33.0000,33.0000,33.0000,0.0000,7.7227,43.6209,234.9223,0.0000
ES0032000002938129LL,66.0000,66.0000,66.0000,0.0000,151.7170,213.0066,1.5859,0.0000
ES0032000002958629ZA,15.1000,15.1000,15.1000,0.0000,31.5486,153.9965,37.9929,0.0000
ES0032000002948031JP,22.0000,25.0000,20.0000,0.0000,108.1069,154.0150,153.7147,0.0000
ES0032000002938089HW,70.0000,70.0000,70.0000,0.0000,226.2925,44.9059,172.8477,0.0000
ES0032000002938087HT,340.0000,340.0000,340.0000,0.0000,213.8273,73.3821,77.6467,0.0000
